iter	Passed	Remaining
400	21209	31681
401	21267	31636
402	21320	31584
403	21375	31534
404	21431	31485
405	21489	31439
406	21544	31391
407	21596	31336
408	21651	31285
409	21680	31199
410	21736	31149
411	21794	31104
412	21852	31058
413	21907	31009
414	21961	30957
415	22019	30911
416	22073	30860
417	22127	30808
418	22181	30757
419	22233	30703
420	22289	30654
421	22345	30606
422	22399	30554
423	22455	30506
424	22514	30460
425	22570	30411
426	22629	30367
427	22689	30323
428	22743	30272
429	22799	30222
430	22829	30139
431	22883	30087
432	22941	30041
433	23000	29995
434	23062	29954
435	23121	29909
436	23180	29863
437	23235	29813
438	23292	29765
439	23346	29713
440	23398	29659
441	23458	29614
442	23514	29565
443	23571	29516
444	23624	29464
445	23681	29415
446	23733	29361
447	23789	29312
448	23843	29260
449	23900	29211
450	23956	29162
451	24011	29110
452	24061	29054
453	24123	29011
454	24181	28964
455	24238	28915
456	24297	28869
457	24351	28817
458	24401	28760
459	24452	28704
460	24504	28650
461	24552	28591
462	24599	28530
463	24646	28471
464	24697	28415
465	24744	28355
466	24801	28306
467	24820	28214
468	24851	28137
469	24899	28078
470	24955	28028
471	25012	27979
472	25032	27890
473	25083	27835
474	25140	27786
475	25195	27736
476	25251	27686
477	25309	27639
478	25364	27588
479	25425	27544
480	25480	27493
481	25537	27445
482	25591	27393
483	25648	27343
484	25703	27293
485	25757	27241
486	25813	27191
487	25872	27144
488	25926	27093
489	25993	27054
490	26048	27003
491	26101	26950
492	26157	26900
493	26207	26844
494	26257	26788
495	26310	26735
496	26366	26684
497	26424	26637
498	26477	26583
499	26537	26537
500	26592	26486
501	26643	26431
502	26701	26383
503	26755	26330
504	26806	26275
505	26862	26224
506	26915	26172
507	26958	26109
508	27013	26057
509	27060	25999
510	27109	25942
511	27161	25888
512	27216	25836
513	27266	25781
514	27317	25726
515	27366	25669
516	27400	25598
517	27499	25588
518	27551	25534
519	27603	25480
520	27661	25431
521	27714	25378
522	27767	25325
523	27820	25272
524	27870	25216
525	27929	25168
526	27981	25114
527	28039	25065
528	28090	25010
529	28144	24958
530	28202	24909
531	28255	24856
532	28316	24810
533	28369	24756
534	28427	24708
535	28479	24653
536	28531	24600
537	28584	24546
538	28636	24492
539	28686	24437
540	28731	24376
541	28775	24316
542	28821	24256
543	28867	24197
544	28911	24136
545	28961	24081
546	29013	24027
547	29066	23974
548	29123	23925
549	29152	23852
550	29206	23799
551	29261	23748
552	29310	23692
553	29354	23631
554	29404	23576
555	29450	23518
556	29509	23469
557	29563	23417
558	29609	23358
559	29656	23301
560	29701	23242
561	29747	23183
562	29793	23125
563	29839	23067
564	29863	22992
565	29915	22939
566	29965	22883
567	30021	22833
568	30088	22790
569	30137	22734
570	30187	22680
571	30229	22619
572	30272	22558
573	30320	22502
574	30371	22448
575	30421	22393
576	30441	22316
577	30487	22258
578	30531	22199
579	30576	22141
580	30620	22082
581	30665	22024
582	30715	21969
583	30767	21916
584	30819	21863
585	30870	21809
586	30930	21762
587	30985	21710
588	31030	21652
589	31075	21594
590	31121	21537
591	31172	21484
592	31225	21431
593	31277	21378
594	31327	21323
595	31371	21265
596	31420	21209
597	31466	21153
598	31512	21095
599	31561	21040
600	31621	20993
601	31673	20939
602	31724	20886
603	31764	20825
604	31808	20767
605	31857	20712
606	31916	20664
607	31969	20612
608	32016	20555
609	32067	20501
610	32132	20457
611	32177	20400
612	32237	20352
613	32288	20298
614	32337	20243
615	32383	20186
616	32434	20133
617	32489	20082
618	32543	20030
619	32602	19982
620	32657	19931
621	32711	19879
622	32766	19828
623	32815	19773
624	32868	19720
625	32923	19669
626	32972	19615
627	33020	19559
628	33066	19503
629	33117	19449
630	33166	19395
631	33210	19337
632	33263	19285
633	33286	19215
634	33331	19158
635	33378	19103
636	33422	19046
637	33467	18989
638	33516	18934
639	33561	18878
640	33610	18824
641	33670	18775
642	33715	18719
643	33773	18669
644	33818	18613
645	33861	18555
646	33909	18500
647	33955	18444
648	34002	18389
649	34046	18332
650	34091	18276
651	34137	18220
652	34184	18165
653	34231	18110
654	34274	18053
655	34326	18000
656	34372	17944
657	34419	17889
658	34468	17835
659	34513	17779
660	34564	17726
661	34609	17670
662	34655	17615
663	34707	17562
664	34751	17506
665	34795	17449
666	34841	17394
667	34886	17338
668	34932	17283
669	34987	17232
670	35035	17178
671	35078	17121
672	35125	17067
673	35171	17011
674	35223	16959
675	35272	16905
676	35318	16850
677	35371	16798
678	35416	16743
679	35462	16688
680	35507	16632
681	35552	16577
682	35596	16521
683	35639	16465
684	35688	16411
685	35731	16355
686	35777	16300
687	35835	16250
688	35882	16196
689	35925	16140
690	35951	16076
691	35981	16014
692	36027	15960
693	36081	15909
694	36129	15855
695	36177	15801
696	36228	15749
697	36277	15696
698	36331	15644
699	36377	15590
700	36425	15536
701	36470	15481
702	36515	15426
703	36562	15372
704	36614	15321
705	36661	15267
706	36716	15216
707	36762	15161
708	36810	15108
709	36856	15053
710	36906	15001
711	36954	14947
712	37100	14933
713	37166	14887
714	37216	14834
715	37266	14781
716	37312	14727
717	37362	14674
718	37417	14623
719	37470	14571
720	37528	14522
721	37580	14470
722	37628	14416
723	37678	14363
724	37728	14310
725	37775	14257
726	37824	14203
727	37882	14153
728	37930	14100
729	37979	14047
730	38023	13992
731	38072	13938
732	38121	13886
733	38168	13832
734	38220	13780
735	38270	13727
736	38317	13673
737	38335	13609
738	38383	13556
739	38430	13502
740	38476	13448
741	38530	13397
742	38580	13344
743	38633	13293
744	38688	13242
745	38739	13190
746	38791	13138
747	38849	13088
748	38900	13036
749	38953	12984
750	39003	12932
751	39047	12877
752	39091	12822
753	39137	12769
754	39226	12729
755	39299	12683
756	39357	12634
757	39406	12580
758	39454	12527
759	39504	12475
760	39552	12421
761	39601	12368
762	39653	12316
763	39700	12263
764	39757	12213
765	39806	12160
766	39872	12112
767	39925	12060
768	39970	12006
769	40020	11954
770	40069	11901
771	40118	11848
772	40166	11795
773	40214	11742
774	40261	11688
775	40309	11635
776	40358	11582
777	40411	11531
778	40459	11478
779	40483	11418
780	40528	11364
781	40573	11310
782	40619	11257
783	40677	11207
784	40725	11154
785	40774	11101
786	40824	11049
787	40876	10997
788	40926	10944
789	40978	10892
790	41029	10840
791	41086	10790
792	41138	10738
793	41189	10686
794	41336	10659
795	41369	10602
796	41414	10548
797	41463	10495
798	41521	10445
799	41569	10392
800	41617	10339
801	41669	10287
802	41718	10234
803	41766	10181
804	41812	10128
805	41859	10075
806	41909	10022
807	41937	9965
808	41985	9912
809	42041	9861
810	42089	9808
811	42138	9756
812	42200	9706
813	42257	9655
814	42312	9604
815	42359	9551
816	42406	9498
817	42465	9448
818	42511	9395
819	42558	9342
820	42608	9289
821	42658	9237
822	42706	9184
823	42756	9132
824	42805	9079
825	42854	9027
826	42902	8974
827	42950	8922
828	43014	8872
829	43062	8820
830	43114	8768
831	43164	8715
832	43215	8663
833	43262	8610
834	43310	8558
835	43361	8506
836	43418	8455
837	43469	8403
838	43520	8351
839	43553	8295
840	43603	8243
841	43652	8191
842	43697	8138
843	43745	8085
844	43792	8032
845	43934	7997
846	43993	7946
847	44050	7895
848	44106	7844
849	44168	7794
850	44222	7742
851	44278	7691
852	44334	7640
853	44390	7588
854	44444	7537
855	44493	7484
856	44549	7433
857	44602	7381
858	44658	7330
859	44713	7279
860	44773	7228
861	44832	7177
862	44886	7125
863	44943	7074
864	44997	7022
865	45042	6969
866	45089	6916
867	45139	6864
868	45186	6811
869	45232	6758
870	45281	6706
871	45333	6654
872	45382	6602
873	45434	6550
874	45489	6498
875	45542	6446
876	45594	6394
877	45644	6342
878	45698	6290
879	45752	6238
880	45779	6183
881	45835	6132
882	45891	6080
883	45943	6028
884	45997	5977
885	46052	5925
886	46111	5874
887	46165	5822
888	46220	5771
889	46276	5719
890	46330	5667
891	46381	5615
892	46433	5563
893	46488	5512
894	46543	5460
895	46597	5408
896	46650	5356
897	46709	5305
898	46758	5253
899	46808	5200
900	46856	5148
901	46908	5096
902	46958	5044
903	47017	4993
904	47078	4941
905	47127	4889
906	47180	4837
907	47233	4785
908	47287	4733
909	47340	4682
910	47390	4629
911	47447	4578
912	47509	4527
913	47559	4475
914	47617	4423
915	47671	4371
916	47719	4319
917	47771	4267
918	47822	4215
919	47871	4162
920	47921	4110
921	47978	4058
922	48034	4007
923	48092	3955
924	48148	3903
925	48204	3852
926	48258	3800
927	48309	3748
928	48364	3696
929	48413	3644
930	48468	3592
931	48523	3540
932	48575	3488
933	48626	3436
934	48679	3384
935	48734	3332
936	48793	3280
937	48851	3228
938	48905	3177
939	48960	3125
940	49015	3073
941	49071	3021
942	49132	2969
943	49196	2918
944	49257	2866
945	49318	2815
946	49371	2763
947	49469	2713
948	49532	2661
949	49589	2609
950	49662	2558
951	49723	2507
952	49783	2455
953	49843	2403
954	49900	2351
955	49956	2299
956	50018	2247
957	50073	2195
958	50131	2143
959	50194	2091
960	50252	2039
961	50312	1987
962	50370	1935
963	50430	1883
964	50492	1831
965	50555	1779
966	50610	1727
967	50659	1674
968	50713	1622
969	50772	1570
970	50833	1518
971	50891	1466
972	50953	1413
973	51012	1361
974	51068	1309
975	51123	1257
976	51170	1204
977	51221	1152
978	51274	1099
979	51314	1047
980	51357	994
981	51410	942
982	51465	890
983	51523	837
984	51580	785
985	51635	733
986	51692	680
987	51747	628
988	51806	576
989	51857	523
990	51903	471
991	51955	418
992	52004	366
993	52055	314
994	52112	261
995	52164	209
996	52211	157
997	52261	104
998	52307	52
999	52352	0
