iter	Logloss
0	0.6926846961
1	0.6923185296
2	0.6920620385
3	0.6917220915
4	0.6912949744
5	0.6908427659
6	0.6906911744
7	0.6902236831
8	0.6901507451
9	0.6895498887
10	0.6891566372
11	0.6888720969
12	0.6885805247
13	0.688172513
14	0.6878249372
15	0.6871474158
16	0.6867243102
17	0.6863827954
18	0.6858470603
19	0.6853257824
20	0.6850031924
21	0.6845512856
22	0.684219798
23	0.6837524385
24	0.6833393781
25	0.6828086956
26	0.6824380964
27	0.6820998554
28	0.681711267
29	0.6814178711
30	0.6809402875
31	0.680361782
32	0.6799472754
33	0.6795346244
34	0.6791605968
35	0.6788665752
36	0.6781276392
37	0.6776088844
38	0.6771386673
39	0.6765882924
40	0.6760901567
41	0.6757119743
42	0.6753345274
43	0.6751211681
44	0.674702593
45	0.6742570178
46	0.6739042127
47	0.6734180685
48	0.6730033668
49	0.6727571319
50	0.6726017475
51	0.6724742372
52	0.67209586
53	0.6718775973
54	0.671750557
55	0.6713903457
56	0.6709997828
57	0.670821322
58	0.670417306
59	0.6700170278
60	0.6694093289
61	0.6690701362
62	0.668803936
63	0.6682300944
64	0.6677724754
65	0.6675779522
66	0.6671889591
67	0.6664998775
68	0.6663030995
69	0.665765234
70	0.6654745169
71	0.6649183831
72	0.6646349571
73	0.6641985186
74	0.6641097471
75	0.663319622
76	0.6627838887
77	0.6622801068
78	0.6618650548
79	0.6615166159
80	0.6611313771
81	0.6606045943
82	0.6601726825
83	0.6598382515
84	0.6593465024
85	0.6586390122
86	0.6583179718
87	0.6581153341
88	0.657841556
89	0.6572031803
90	0.6569286764
91	0.6564894685
92	0.6561566744
93	0.6557439125
94	0.6553464707
95	0.6550843602
96	0.6547099173
97	0.6545144565
98	0.6541610503
99	0.6538589712
100	0.6535828728
101	0.6530807381
102	0.6528629617
103	0.6525531483
104	0.6525495675
105	0.6522903399
106	0.6519813382
107	0.6518040741
108	0.6514941214
109	0.6511815909
110	0.6508531764
111	0.6505012119
112	0.6501428865
113	0.6498400498
114	0.6495627484
115	0.6492526114
116	0.6487718861
117	0.6486186525
118	0.6482718125
119	0.647887334
120	0.6474485281
121	0.6471308818
122	0.6468309431
123	0.6464175911
124	0.6460307941
125	0.6458470351
126	0.6456390428
127	0.645321752
128	0.6449263862
129	0.6446867483
130	0.6444541774
131	0.6441962992
132	0.6439190309
133	0.6435470193
134	0.643170106
135	0.6429177222
136	0.6424776745
137	0.6420159372
138	0.6416402977
139	0.6415238401
140	0.6411907576
141	0.6410063153
142	0.6406196933
143	0.6401991209
144	0.6396128954
145	0.6393881285
146	0.6389952108
147	0.6388429721
148	0.6383214227
149	0.6380604571
150	0.6378365534
151	0.6376431167
152	0.6371870645
153	0.6366549157
154	0.636404874
155	0.6361535857
156	0.6358095297
157	0.6354490479
158	0.6352769173
159	0.6351461903
160	0.6347157307
161	0.6342581876
162	0.6338648094
163	0.6335173405
164	0.6333079245
165	0.6328427399
166	0.6325661753
167	0.6321926715
168	0.6318398486
169	0.6316615744
170	0.631267529
171	0.6309558296
172	0.6306510609
173	0.6303499518
174	0.630123795
175	0.6298572786
176	0.6295149283
177	0.6291463819
178	0.6288502701
179	0.6286215848
180	0.6283831427
181	0.6282011611
182	0.6278090382
183	0.627521316
184	0.6273302528
185	0.6268708092
186	0.6266467137
187	0.6263808155
188	0.6260792045
189	0.6258846232
190	0.62549038
191	0.6254103177
192	0.6251576695
193	0.62471767
194	0.6245156491
195	0.6240526895
196	0.6236838615
197	0.6233034247
198	0.622981493
199	0.6225518696
200	0.6223750249
201	0.6221148772
202	0.6219540187
203	0.621748556
204	0.6214669193
205	0.6211557582
206	0.6208358896
207	0.6206009736
208	0.6203313358
209	0.6199315631
210	0.6197447215
211	0.6195197766
212	0.61925557
213	0.6189287068
214	0.6186520491
215	0.6181612376
216	0.6178868004
217	0.6177187523
218	0.6174284774
219	0.6173453302
220	0.6168894228
221	0.6166662985
222	0.6162633434
223	0.6160690089
224	0.6157203722
225	0.6151348117
226	0.6147139572
227	0.6145274682
228	0.614381383
229	0.6141841729
230	0.6139570327
231	0.613636451
232	0.6132401162
233	0.6130386756
234	0.6127927418
235	0.6125404786
236	0.6123601429
237	0.6121505108
238	0.6117010906
239	0.6113604214
240	0.6108310551
241	0.6105322539
242	0.6103421616
243	0.6100498685
244	0.6097520076
245	0.6093808791
246	0.6092198272
247	0.6090175548
248	0.6084358459
249	0.6081089187
250	0.6077854358
251	0.6075405461
252	0.6074401377
253	0.6070526563
254	0.6066178101
255	0.6065138902
256	0.6061342802
257	0.6057486366
258	0.6054870955
259	0.6052453625
260	0.6049352363
261	0.6046102135
262	0.6045632683
263	0.6045273631
264	0.6043846814
265	0.6042103405
266	0.6039406764
267	0.6037577316
268	0.6035892352
269	0.6032527432
270	0.6031007929
271	0.6027805443
272	0.6025858738
273	0.6024694316
274	0.6022836935
275	0.6020035743
276	0.6017177197
277	0.6014666511
278	0.6013871188
279	0.6012449404
280	0.6009672828
281	0.6007007293
282	0.600514476
283	0.600249767
284	0.600050867
285	0.599935814
286	0.5995709128
287	0.5990656688
288	0.5987744414
289	0.5986411393
290	0.5983547688
291	0.5979125324
292	0.5976750143
293	0.5971633835
294	0.5967138561
295	0.596355438
296	0.596084391
297	0.5955941245
298	0.5954455332
299	0.5951190421
300	0.5949194793
301	0.5947940872
302	0.5944241797
303	0.594139504
304	0.5941282198
305	0.5939659456
306	0.5937870933
307	0.5935728684
308	0.5931954984
309	0.5929606166
310	0.5926787455
311	0.5924354884
312	0.59213272
313	0.591880252
314	0.591741507
315	0.591333137
316	0.5910522445
317	0.5907175975
318	0.5902484117
319	0.5902460874
320	0.5899096614
321	0.5896234838
322	0.5893328714
323	0.5890323196
324	0.5887492742
325	0.5885619743
326	0.5883178435
327	0.5880211095
328	0.5878074912
329	0.5875212546
330	0.5871015716
331	0.586866867
332	0.5866594249
333	0.5864349498
334	0.5863580803
335	0.5860342098
336	0.5856051281
337	0.5853176006
338	0.5850150913
339	0.5846575217
340	0.5845114755
341	0.5840994177
342	0.5839845225
343	0.5837313262
344	0.5833733951
345	0.5830909302
346	0.5828128929
347	0.5824682448
348	0.5822490958
349	0.5820740312
350	0.5818820135
351	0.5818095911
352	0.5816754691
353	0.5813774648
354	0.580975719
355	0.5808953132
356	0.5806365156
357	0.5804519267
358	0.5801282078
359	0.5798274634
360	0.5795152903
361	0.5792439333
362	0.5790099259
363	0.5788975322
364	0.5787035362
365	0.5786073025
366	0.578350352
367	0.5780636666
368	0.5778778641
369	0.5777384083
370	0.5774866701
371	0.5772123603
372	0.5768468626
373	0.5765534276
374	0.5762614251
375	0.5760150777
376	0.5757323553
377	0.5752819967
378	0.5751270178
379	0.5749445489
380	0.5747538006
381	0.5745262109
382	0.5743855188
383	0.5741514645
384	0.5738219525
385	0.5734948429
386	0.5731470124
387	0.5729366427
388	0.5728148493
389	0.5726381659
390	0.5726328272
391	0.5724455443
392	0.5723131453
393	0.5720091976
394	0.5718366328
395	0.5714677852
396	0.5712253012
397	0.5711486505
398	0.5710460001
399	0.5707215766
400	0.5704961672
401	0.5702099261
402	0.5700847723
403	0.5696870273
404	0.5692511773
405	0.5691476911
406	0.569033572
407	0.5688990895
408	0.5687360892
409	0.5684091577
410	0.5681801797
411	0.5680556071
412	0.5679833764
413	0.5677133202
414	0.5674707773
415	0.5673135146
416	0.5672337787
417	0.5670680335
418	0.5666793423
419	0.5662869587
420	0.5660704453
421	0.5659690869
422	0.5657164978
423	0.565458537
424	0.565241197
425	0.5649448594
426	0.5646367773
427	0.5644909688
428	0.5643332753
429	0.5641941214
430	0.5640355665
431	0.5636923741
432	0.5635227425
433	0.5631734734
434	0.5628926811
435	0.5625563939
436	0.5620712746
437	0.5618318616
438	0.5618130648
439	0.5614723234
440	0.5612904731
441	0.5611080504
442	0.5610325042
443	0.5607993593
444	0.5606233841
445	0.5604688918
446	0.5602040902
447	0.5598480558
448	0.5594597253
449	0.5592143664
450	0.5589723839
451	0.5588455382
452	0.5587786538
453	0.5585000232
454	0.5582360389
455	0.5579810621
456	0.5576471983
457	0.5576083266
458	0.5574185729
459	0.5572268874
460	0.5569839651
461	0.5567445289
